dosya_adi,stok_kodu,uzanti,dosya_boyutu_byte,veritabaninda_var_mi
1288020-25_1.jpg,1288020-25,.jpg,1504,False
128_317_617_1.jpg,128_317_617,.jpg,4096,False
"129_211_714_717_207,5_1.png","129_211_714_717_207,5",.png,17382,False
"129_211_714_717_207,5_2.png","129_211_714_717_207,5",.png,17382,False
1303024_1.jpg,1303024,.jpg,1601,False
1304020_1.jpg,1304020,.jpg,1823,False
1305040_1.jpg,1305040,.jpg,1501,False
1306035_1.jpg,1306035,.jpg,1725,False
1307039_1.jpg,1307039,.jpg,1951,False
1308020_1.jpg,1308020,.jpg,1648,False
1309020_1.jpg,1309020,.jpg,1650,False
130_015_017_020_1.png,130_015_017_020,.png,21256,False
1310025_1.jpg,1310025,.jpg,1906,False
1311025_1.jpg,1311025,.jpg,1506,False
1312020_1.jpg,1312020,.jpg,1634,False
1313015_1.jpg,1313015,.jpg,1412,False
131_620_622_1.jpg,131_620_622,.jpg,4096,False
132_111_114_614_617_620_211_1.png,132_111_114_614_617_620_211,.png,11172,False
132_111_114_614_617_620_211_2.png,132_111_114_614_617_620_211,.png,11172,False
133_108_208_210_212_214_114_614_616_618_620_1.png,133_108_208_210_212_214_114_614_616_618_620,.png,24045,False
133_108_208_210_212_214_114_614_616_618_620_2.jpg,133_108_208_210_212_214_114_614_616_618_620,.jpg,4096,False
134_915_917_920_1.png,134_915_917_920,.png,28077,False
"135_618_214,5_214,5-E_618-E_1.jpg","135_618_214,5_214,5-E_618-E",.jpg,4096,False
"135_618_214,5_214,5-E_618-E_2.jpg","135_618_214,5_214,5-E_618-E",.jpg,4096,False
136_714_716_718_720_106_206_208_210_212_214_620_622_1.png,136_714_716_718_720_106_206_208_210_212_214_620_622,.png,18542,False
136_714_716_718_720_106_206_208_210_212_214_620_622_2.png,136_714_716_718_720_106_206_208_210_212_214_620_622,.png,18542,False
136_714_716_718_720_106_206_208_210_212_214_620_622_3.png,136_714_716_718_720_106_206_208_210_212_214_620_622,.png,18542,False
137_214_618_620_624_014_1.png,137_214_618_620_624_014,.png,34175,False
137_214_618_620_624_014_2.png,137_214_618_620_624_014,.png,34175,False
137_214_618_620_624_014_3.png,137_214_618_620_624_014,.png,34175,False
1383_TOKA_+_PUL_1.png,1383_TOKA_+_PUL,.png,36591,False
138_907_924_1.jpg,138_907_924,.jpg,4096,False
140_212_1.png,140_212,.png,15465,False
1419_1.jpg,1419,.jpg,49324,False
141_114_214_217_714_1.png,141_114_214_217_714,.png,10103,False
141_114_214_217_714_2.png,141_114_214_217_714,.png,10103,False
142_214_217_618_714_1.png,142_214_217_618_714,.png,12880,False
142_214_217_618_714_2.png,142_214_217_618_714,.png,12880,False
142_214_217_618_714_3.png,142_214_217_618_714,.png,12880,False
143_618_1.jpg,143_618,.jpg,4096,False
144_440_740_1.jpg,144_440_740,.jpg,4096,False
145_209_1.jpg,145_209,.jpg,4096,False
146_212_214_618_714_1.jpg,146_212_214_618_714,.jpg,4096,False
146_212_214_618_714_2.jpg,146_212_214_618_714,.jpg,4096,False
146_212_214_618_714_3.jpg,146_212_214_618_714,.jpg,4096,False
1479013_(Kesik)_1.jpg,1479013_(Kesik),.jpg,2253,False
147_012_015_017_020_1.jpg,147_012_015_017_020,.jpg,8192,False
1485025_(1477025_ile_aynı_ürün)_1.jpg,1485025_(1477025_ile_aynı_ürün),.jpg,39750,False
148_915_917_920_1.png,148_915_917_920,.png,38897,False
149_028_032_024_1.jpg,149_028_032_024,.jpg,4096,False
150_206_208_110_115_008_D_008_010_014_715_617_1.jpg,150_206_208_110_115_008_D_008_010_014_715_617,.jpg,4096,False
150_206_208_110_115_008_D_008_010_014_715_617_2.jpg,150_206_208_110_115_008_D_008_010_014_715_617,.jpg,4096,False
150_206_208_110_115_008_D_008_010_014_715_617_3.jpg,150_206_208_110_115_008_D_008_010_014_715_617,.jpg,4096,False
150_206_208_110_115_008_D_008_010_014_715_617_4.jpg,150_206_208_110_115_008_D_008_010_014_715_617,.jpg,4096,False
1516_y_ç_ç2_1.jpg,1516_y_ç_ç2,.jpg,2951,False
151_417_1.jpg,151_417,.jpg,4096,False
152_214_1.jpg,152_214,.jpg,4096,False
153_213_1.jpg,153_213,.jpg,4096,False
154_004_024_1.png,154_004_024,.png,22302,False
1550010_013_1.jpg,1550010_013,.jpg,1815,False
155801.70000000001_1.jpg,155801.70000000001,.jpg,1436,False
155_012_014_016_020_KUŞGÖZÜ_5_OLMALI_1.png,155_012_014_016_020_KUŞGÖZÜ_5_OLMALI,.png,8058,False
156_212_617_620_624_1.png,156_212_617_620_624,.png,42043,False
156_212_617_620_624_2.png,156_212_617_620_624,.png,42043,False
157_214_714_1.jpg,157_214_714,.jpg,4096,False
157_214_714_2.jpg,157_214_714,.jpg,4096,False
1585023_19_17_15_1.jpg,1585023_19_17_15,.jpg,2963,False
158_712_1.png,158_712,.png,28731,False
1590020_22_15_1.jpg,1590020_22_15,.jpg,3785,False
159_012_015_017_020_018_715_720_1.png,159_012_015_017_020_018_715_720,.png,7451,False
159_012_015_017_020_018_715_720_2.png,159_012_015_017_020_018_715_720,.png,7451,False
16030_35_1.jpg,16030_35,.jpg,2305,False
160_000_1.jpg,160_000,.jpg,4096,False
161_615_1.png,161_615,.png,16485,False
"1628020_016,2_1.jpg","1628020_016,2",.jpg,3227,False
162_212_618_620_622_1.jpg,162_212_618_620_622,.jpg,4096,False
162_212_618_620_622_2.jpg,162_212_618_620_622,.jpg,4096,False
163009.70000000001_1.jpg,163009.70000000001,.jpg,2244,False
1635015_25_1.png,1635015_25,.png,14248,False
163_720_1.jpg,163_720,.jpg,4096,False
164_211_618_620_1.jpg,164_211_618_620,.jpg,4096,False
164_211_618_620_2.jpg,164_211_618_620,.jpg,4096,False
1651_Göz+Dil+Halka_1.jpg,1651_Göz+Dil+Halka,.jpg,2721,False
1652050_Maçalı_Maçasız_1.jpg,1652050_Maçalı_Maçasız,.jpg,2921,False
165_012_017_022_1.jpg,165_012_017_022,.jpg,8192,False
166_212_617_020_022_25_28_1.jpg,166_212_617_020_022_25_28,.jpg,8192,False
166_212_617_020_022_25_28_2.jpg,166_212_617_020_022_25_28,.jpg,8192,False
166_212_617_020_022_25_28_3.jpg,166_212_617_020_022_25_28,.jpg,8192,False
1679015_12_1.jpg,1679015_12,.jpg,2927,False
168_212_220_617_620_017_020_714_012_212-t_012_1.jpg,168_212_220_617_620_017_020_714_012_212-t_012,.jpg,4096,False
168_212_220_617_620_017_020_714_012_212-t_012_2.jpg,168_212_220_617_620_017_020_714_012_212-t_012,.jpg,4096,False
168_212_220_617_620_017_020_714_012_212-t_012_3.jpg,168_212_220_617_620_017_020_714_012_212-t_012,.jpg,4096,False
"169_215_712_715_720_625_630_012_011,3_008_1.jpg","169_215_712_715_720_625_630_012_011,3_008",.jpg,4096,False
"169_215_712_715_720_625_630_012_011,3_008_2.jpg","169_215_712_715_720_625_630_012_011,3_008",.jpg,4096,False
"169_215_712_715_720_625_630_012_011,3_008_3.jpg","169_215_712_715_720_625_630_012_011,3_008",.jpg,4096,False
"169_215_712_715_720_625_630_012_011,3_008_4.jpg","169_215_712_715_720_625_630_012_011,3_008",.jpg,4096,False
1700023_(ESKİ_KALIP_YENİ_BOY)_1.png,1700023_(ESKİ_KALIP_YENİ_BOY),.png,91454,False
170_210_212_617_620_1.jpg,170_210_212_617_620,.jpg,4096,False
170_210_212_617_620_2.jpg,170_210_212_617_620,.jpg,4096,False
171_212_214_1.jpg,171_212_214,.jpg,4096,False
172_210_214_617_620_1.jpg,172_210_214_617_620,.jpg,8192,False
172_210_214_617_620_2.jpg,172_210_214_617_620,.jpg,8192,False
1735060_1.png,1735060,.png,283073,False
173_915_917_920_923_930_1.png,173_915_917_920_923_930,.png,25338,False
1747022_25_1.png,1747022_25,.png,225477,False
174_915_918_923_1.png,174_915_918_923,.png,27529,False
176_010_012_016_019_211_208_210_1.png,176_010_012_016_019_211_208_210,.png,29423,False
176_010_012_016_019_211_208_210_2.jpg,176_010_012_016_019_211_208_210,.jpg,8192,False
177_210_617_620_1.jpg,177_210_617_620,.jpg,8192,False
177_210_617_620_2.jpg,177_210_617_620,.jpg,8192,False
178_210_710_618_620_1.jpg,178_210_710_618_620,.jpg,4096,False
178_210_710_618_620_2.jpg,178_210_710_618_620,.jpg,4096,False
178_210_710_618_620_3.jpg,178_210_710_618_620,.jpg,4096,False
1798010_(TAŞLI)_1.jpeg,1798010_(TAŞLI),.jpeg,45244,False
179_211_617_620_1.jpg,179_211_617_620,.jpg,4096,False
179_211_617_620_2.jpg,179_211_617_620,.jpg,4096,False
18080_22_1.jpg,18080_22,.jpg,39880,False
180_310_312_617_620_1.jpg,180_310_312_617_620,.jpg,4096,False
1814015_22_1.jpg,1814015_22,.jpg,53272,False
1819018_1.png,1819018,.png,87060,False
181_210_212_618_620_622_1.jpg,181_210_212_618_620_622,.jpg,8192,False
181_210_212_618_620_622_2.jpg,181_210_212_618_620_622,.jpg,8192,False
182_210_1.jpg,182_210,.jpg,4096,False
183_210_212_617_1.jpg,183_210_212_617,.jpg,4096,False
183_210_212_617_2.jpg,183_210_212_617,.jpg,4096,False
184_210_212_617_620_1.jpg,184_210_212_617_620,.jpg,4096,False
184_210_212_617_620_2.jpg,184_210_212_617_620,.jpg,4096,False
1854050_1.png,1854050,.png,30810,False
185_212_617_620_1.png,185_212_617_620,.png,36863,False
185_212_617_620_2.jpg,185_212_617_620,.jpg,4096,False
186_020_1.png,186_020,.png,31381,False
187_017_020_023_1.png,187_017_020_023,.png,9756,False
188_215_1.png,188_215,.png,19804,False
189_710_717_210_617_620_1.png,189_710_717_210_617_620,.png,14247,False
189_710_717_210_617_620_2.png,189_710_717_210_617_620,.png,14247,False
189_710_717_210_617_620_3.jpg,189_710_717_210_617_620,.jpg,4096,False
190_723_1.png,190_723,.png,15792,False
191_617_620_1.jpg,191_617_620,.jpg,4096,False
192_920_1.png,192_920,.png,21455,False
193_212_617_620_017_1.jpg,193_212_617_620_017,.jpg,4096,False
193_212_617_620_017_2.jpg,193_212_617_620_017,.jpg,4096,False
193_212_617_620_017_3.jpg,193_212_617_620_017,.jpg,4096,False
1952050_1.jpeg,1952050,.jpeg,26858,False
195304.5_1.jpeg,195304.5,.jpeg,15964,False
195_1.png,195,.png,28943,False
1960_20_1.jpeg,1960_20,.jpeg,46405,False
1964808_1.jpeg,1964808,.jpeg,10400,False
1965025_1.jpeg,1965025,.jpeg,21932,False
1966033_1.jpeg,1966033,.jpeg,109544,False
1966044_1.jpg,1966044,.jpg,114516,False
1972050_1.jpeg,1972050,.jpeg,10522,False
197_917_1.png,197_917,.png,15346,False
1997_018_1.jpeg,1997_018,.jpeg,26183,False
