stok_kodu,dosya_adi,ana_gorsel_mi,sira_no
114043,114043_1.jpg,True,1
1141820,1141820_1.jpg,True,1
1142717,1142717_1.jpg,True,1
1142720,1142720_1.jpg,True,1
1142725,1142725_1.jpg,True,1
1143023,1143023_1.jpg,True,1
1144015,1144015_1.jpg,True,1
1145012,1145012_1.jpg,True,1
1145015,1145015_1.jpg,True,1
1145020,1145020_1.jpg,True,1
1146015,1146015_1.jpg,True,1
11471016,11471016_1.jpg,True,1
114820,114820_1.jpg,True,1
1149010,1149010_1.jpg,True,1
1150050,1150050_1.jpg,True,1
1151048,1151048_1.jpg,True,1
1152025,1152025_1.jpg,True,1
1153028,1153028_1.jpg,True,1
1153029,1153029_1.jpg,True,1
115405,115405_1.jpg,True,1
1155,1155_1.jpg,True,1
115603,115603_1.jpg,True,1
115704,115704_1.jpg,True,1
115805,115805_1.jpg,True,1
1159025,1159025_1.jpg,True,1
1160020,1160020_1.jpg,True,1
1161010,1161010_1.jpg,True,1
1162,1162_1.jpg,True,1
1163025,1163025_1.jpg,True,1
1164033,1164033_1.jpg,True,1
1167009,1167009_1.jpg,True,1
1169025,1169025_1.jpg,True,1
1170912,1170912_1.jpg,True,1
1171,1171_1.jpg,True,1
1172029,1172029_1.jpg,True,1
1172034,1172034_1.jpg,True,1
1172052,1172052_1.jpg,True,1
1173011,1173011_1.jpg,True,1
1174009,1174009_1.jpg,True,1
1175012,1175012_1.jpg,True,1
1176013,1176013_1.jpg,True,1
1177021,1177021_1.jpg,True,1
1178020,1178020_1.jpg,True,1
1179027,1179027_1.jpg,True,1
1180070,1180070_1.jpg,True,1
1182014,1182014_1.jpg,True,1
1183011,1183011_1.jpg,True,1
1184016,1184016_1.jpg,True,1
1185010,1185010_1.jpg,True,1
1185014,1185014_1.jpg,True,1
1186018,1186018_1.jpg,True,1
1187035,1187035_1.jpg,True,1
1188910,1188910_1.jpg,True,1
1189139,1189139_1.jpg,True,1
1190056,1190056_1.jpg,True,1
1191735,1191735_1.jpg,True,1
1192011,1192011_1.jpg,True,1
1195023,1195023_1.jpg,True,1
1196011,1196011_1.jpg,True,1
1197808,1197808_1.jpg,True,1
1198807,1198807_1.jpg,True,1
1199805,1199805_1.jpg,True,1
1200010,1200010_1.jpg,True,1
1201023,1201023_1.jpg,True,1
1202715,1202715_1.jpg,True,1
1202718,1202718_1.jpg,True,1
1203020,1203020_1.jpg,True,1
1204012,1204012_1.jpg,True,1
1204014,1204014_1.jpg,True,1
1205036,1205036_1.jpg,True,1
1206040,1206040_1.jpg,True,1
1207003,1207003_1.jpg,True,1
1207004,1207004_1.jpg,True,1
1207005,1207005_1.jpg,True,1
1207006,1207006_1.jpg,True,1
1208720,1208720_1.jpg,True,1
1209009,1209009_1.jpg,True,1
1210041,1210041_1.jpg,True,1
1211040,1211040_1.jpg,True,1
1212020,1212020_1.jpg,True,1
1213032,1213032_1.jpg,True,1
1214910,1214910_1.jpg,True,1
1216008,1216008_1.jpg,True,1
1217020,1217020_1.jpg,True,1
1218020,1218020_1.jpg,True,1
1219007,1219007_1.jpg,True,1
1221809,1221809_1.jpg,True,1
1222020,1222020_1.jpg,True,1
1223018,1223018_1.jpg,True,1
1224018,1224018_1.jpg,True,1
1225006,1225006_1.jpg,True,1
1226030,1226030_1.jpg,True,1
1227028,1227028_1.jpg,True,1
1230052,1230052_1.jpg,True,1
12311024,12311024_1.jpg,True,1
1232015,1232015_1.jpg,True,1
1232020,1232020_1.jpg,True,1
1233030,1233030_1.jpg,True,1
1233040,1233040_1.jpg,True,1
1233045,1233045_1.jpg,True,1
1234044,1234044_1.jpg,True,1
1235024,1235024_1.jpg,True,1
1236018,1236018_1.jpg,True,1
1237024,1237024_1.jpg,True,1
1238109,1238109_1.jpg,True,1
1239205,1239205_1.jpg,True,1
1240008,1240008_1.jpg,True,1
1242816,1242816_1.jpg,True,1
1243806,1243806_1.jpg,True,1
1244006,1244006_1.jpg,True,1
1245015,1245015_1.png,True,1
1246008,1246008_1.jpg,True,1
1247023,1247023_1.jpg,True,1
1248010,1248010_1.jpg,True,1
1249106,1249106_1.jpg,True,1
1251009,1251009_1.jpg,True,1
1251010,1251010_1.jpg,True,1
1251015,1251015_1.jpg,True,1
1251023,1251023_1.jpg,True,1
1252015,1252015_1.jpg,True,1
1253015,1253015_1.jpg,True,1
1254021-Y,1254021-Y_1.jpg,True,1
1255010,1255010_1.jpg,True,1
1255011,1255011_1.jpg,True,1
1256014,1256014_1.png,True,1
1257020,1257020_1.jpg,True,1
1257025,1257025_1.jpg,True,1
1258025,1258025_1.jpg,True,1
1259035,1259035_1.jpg,True,1
1261108,1261108_1.jpg,True,1
1262007,1262007_1.jpg,True,1
1263020,1263020_1.jpg,True,1
126403.5,126403.5_1.jpg,True,1
1265013,1265013_1.jpg,True,1
1266006,1266006_1.jpg,True,1
1268020,1268020_1.jpg,True,1
1268030,1268030_1.jpg,True,1
1268050,1268050_1.jpg,True,1
1269019,1269019_1.png,True,1
1270020,1270020_1.jpg,True,1
1271023,1271023_1.jpg,True,1
1272008,1272008_1.png,True,1
1273011,1273011_1.jpg,True,1
1274107,1274107_1.jpg,True,1
1274109,1274109_1.jpg,True,1
1275105,1275105_1.jpg,True,1
1275106,1275106_1.jpg,True,1
1276020,1276020_1.jpg,True,1
1280805,1280805_1.jpg,True,1
128104.5,128104.5_1.jpg,True,1
128204,128204_1.jpg,True,1
1285020,1285020_1.jpg,True,1
1285025,1285025_1.jpg,True,1
128505,128505_1.jpg,True,1
128602.5,128602.5_1.jpg,True,1
1287030,1287030_1.jpg,True,1
1289-PUL,1289-PUL_1.jpg,True,1
1289025,1289025_1.jpg,True,1
1290722,1290722_1.jpg,True,1
1291024,1291024_1.jpg,True,1
1292020,1292020_1.jpg,True,1
1292025,1292025_1.jpg,True,1
1293036,1293036_1.png,True,1
1294107,1294107_1.png,True,1
1295025,1295025_1.jpg,True,1
