 ÜRÜN GÖRSELİ; ÜRÜN STOK KODU;ÜRÜN KATEGORİ GRUBU;ÜRÜN DETAYI (mm);ÜRÜN DETAYI (Boy);ÜRÜN GRAMI;ÜRÜN GÖZ SAYISI ;ÜRÜN AÇIKLAMASI;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
;"123/020;717;
212;217;617;
620;624";RİVET;12 mm / 17 mm;19 Boy / 27 Boy ;?;?;;;;;;
;124/212;RİVET;12 mm;19;?;?;;;;;;
;"125/114;120;";RİVET;14 mm / 20 mm;22 Boy / 32 Boy ;?;?;;;;;;
;"126/211;
618;620;";RİVET;11 mm;18;?;?;;;;;;
;"126/211;
618;620;";ÇAKMA DÜĞME;18 mm / 20 mm;29 Boy / 32 Boy ;?;?;;;;;;
;"127/211;711";RİVET;11 mm;18;?;?;;;;;;
;"127/211;711";ÇIT ÇIT;11 mm;18;?;?;;;;;;
;"128/317;617";ÇAKMA DÜĞME;17 mm;27;?;?;;;;;;
;"129/211;714;
717;207,5";RİVET;08 mm / 11 mm;13 Boy / 18 Boy ;?;?;;;;;;
;"129/211;714;
717;207,5";ÇIT ÇIT;14 mm / 17 mm ;22 Boy / 27 Boy ;?;?;;;;;;
;"130/015;017;020";ALTTAN DİKME DÜĞME;15 mm / 17 mm / 20 mm ;24 Boy / 27 Boy / 32 Boy ;?;?;;;;;;
;"131/620;622;";ÇAKMA DÜĞME;20 mm / 22 mm;32 Boy / 35 Boy ;?;?;;;;;;
;"132/111;114;
614;617;620;
211";RİVET;11 mm / 14 mm;18 Boy / 22 Boy ;?;?;;;;;;
;"132/111;114;
614;617;620;
211";ÇAKMA DÜĞME;14 mm / 17 mm / 20 mm;22 Boy / 27 Boy / 32 Boy ;?;?;;;;;;
;"133/108;
208;210;212;
214;114;614;
616;618;620;";RİVET;08 mm / 10 mm / 12 mm / 14 mm;13 Boy / 16 Boy / 19 Boy / 22 Boy ;?;?;;;;;;
