 ÜRÜN GÖRSELİ; ÜRÜN STOK KODU;ÜRÜN KATEGORİ GRUBU;ÜRÜN DETAYI (mm);ÜRÜN DETAYI (Boy);ÜRÜN GRAMI;ÜRÜN GÖZ SAYISI ;ÜRÜN AÇIKLAMASI;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
;"231/210;214;617;620;
624;620-İ;
624-İ ;025-İ";RİVET;10 mm / 14 mm ;16 Boy / 22 Boy ;?;?;;;;;;
;"231/210;214;617;620;
624;620-İ;
624-İ ;025-İ";ÇAKMA DÜĞME;"17 mm / 20 mm / 24 mm / 20İ mm / 
24İ mm ";27 Boy / 32 Boy / 38 Boy ;?;?;;;;;;
;"231/210;214;617;620;
624;620-İ;
624-İ ;025-İ";ALTTAN DİKME DÜĞME;25İ mm ;40;?;?;;;;;;
;232/715;ÇIT ÇIT;15 mm ;24;?;?;;;;;;
;"233/014;017;020;
022;210;212;617
620;914;917;017-T;
020-T;022-T
212-T;214-T;620-T;622-T";ALTTAN DİKME DÜĞME;"14 mm / 17 mm / 20 mm / 22 mm /
17T mm / 20T mm / 22T mm ";22 Boy / 27 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"233/014;017;020;
022;210;212;617
620;914;917;017-T;
020-T;022-T
212-T;214-T;620-T;622-T";RİVET;10 mm / 12 mm / 12T mm / 14T mm ;16 Boy / 19 Boy / 22 Boy ;?;?;;;;;;
;"233/014;017;020;
022;210;212;617
620;914;917;017-T;
020-T;022-T
212-T;214-T;620-T;622-T";ÇAKMA DÜĞME;17 mm / 20 mm / 20T mm / 22T mm  ;27 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"233/014;017;020;
022;210;212;617
620;914;917;017-T;
020-T;022-T
212-T;214-T;620-T;622-T";ÜSTTEN DİKME DÜĞME;14 mm / 17 mm ;22 Boy / 27 Boy ;?;?;;;;;;
;"234/209;620;";RİVET;9 mm ;14;?;?;;;;;;
;"234/209;620;";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;235/ 210;RİVET;10 mm ;16;?;?;;;;;;
;236/020;ALTTAN DİKME DÜĞME;20 mm ;32;?;?;;;;;;
YOK;237/;;;YOK;?;?;;;;;;
;"238/210;212;617;620;
622;012 ;017;022;";RİVET;10 mm / 12 mm ;16 Boy / 19 Boy ;?;?;;;;;;
;"238/210;212;617;620;
622;012 ;017;022;";ÇAKMA DÜĞME;17 mm / 20 mm / 22 mm ;27 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"238/210;212;617;620;
622;012 ;017;022;";ALTTAN DİKME DÜĞME;12 mm / 17 mm / 22 mm ;19 Boy / 27 Boy / 35 Boy ;?;?;;;;;;
;"239/212;214;617;620;
622;023;025;028";RİVET;12 mm / 14 mm ;19 Boy / 22 Boy ;?;?;;;;;;
;"239/212;214;617;620;
622;023;025;028";ÇAKMA DÜĞME;17 mm / 20 mm / 22 mm;27 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"239/212;214;617;620;
622;023;025;028";ALTTAN DİKME DÜĞME;23 mm / 25 mm / 28 mm ;37 Boy / 40 Boy / 45 Boy ;?;?;;;;;;
;"240/210;";RİVET;10 mm ;16;?;?;;;;;;
;"241/214;620;622";RİVET;14 mm ;22;?;?;;;;;;
;"241/214;620;622";ÇAKMA DÜĞME;20 mm / 22 mm ;32 Boy / 35 Boy ;?;?;;;;;;
;"242/212;214;617;620;624
712;714";RİVET;12 mm / 14 mm ;19 Boy / 22 Boy ;?;?;;;;;;
;"242/212;214;617;620;624
712;714";ÇAKMA DÜĞME;17 mm / 20 mm / 24 mm ;27 Boy / 32 Boy / 38 Boy ;?;?;;;;;;
;"242/212;214;617;620;624
712;714";ÇIT ÇIT;12 mm / 14 mm ;19 Boy / 22 Boy ;?;?;;;;;;
;"243/210;212;214;
617;620;622";RİVET;10 mm / 12 mm / 14 mm ;16 Boy / 19 Boy / 22 Boy ;?;?;;;;;;
;"243/210;212;214;
617;620;622";ÇAKMA DÜĞME;17 mm / 20 mm / 22 mm ;27 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"244/624;023;028;025";ÇAKMA DÜĞME;24 mm ;38;?;?;;;;;;
;"244/624;023;028;025";ALTTAN DİKME DÜĞME;23 mm / 25 mm / 28 mm ;37 Boy / 40 Boy / 45 Boy ;?;?;;;;;;
;"245/017;015";ALTTAN DİKME DÜĞME;15 mm / 17 mm ;24 Boy / 27 Boy ;?;?;;;;;;
;"246/012;214;617;620;625";ALTTAN DİKME DÜĞME;12 mm ;19;?;?;;;;;;
;"246/012;214;617;620;625";ÇAKMA DÜĞME;17 mm / 20 mm / 25 mm ;27 Boy / 32 Boy / 40 Boy ;?;?;;;;;;
;"246/012;214;617;620;625";RİVET;14 mm ;22;?;?;;;;;;
;"247/210;212;214
;620;622;625;617";RİVET;10 mm / 12 mm / 14 mm ;16 Boy / 19 Boy / 22 Boy ;?;?;;;;;;
;"247/210;212;214
;620;622;625;617";ÇAKMA DÜĞME;17 mm / 20 mm / 22 mm / 25 mm ;27 Boy / 32 Boy / 35 Boy / 40 Boy ;?;?;;;;;;
YOK;248/;;;YOK;?;?;;;;;;
;"249/212;217
;617;622;012";RİVET;12 mm / 17 mm ;19 Boy / 27 Boy ;?;?;;;;;;
;"249/212;217
;617;622;012";ÇAKMA DÜĞME;17 mm / 22 mm ;27 Boy / 35 Boy ;?;?;;;;;;
;"249/212;217
;617;622;012";ALTTAN DİKME DÜĞME;12 mm ;19;?;?;;;;;;
;"250/214;617;622;714;";RİVET;14 mm ;22;?;?;;;;;;
;"250/214;617;622;714;";ÇAKMA DÜĞME;17 mm / 22 mm ;27 Boy / 35 Boy ;?;?;;;;;;
;"250/214;617;622;714;";ÇIT ÇIT;14 mm ;22;?;?;;;;;;
;251/622;ÇAKMA DÜĞME;22 mm ;35 Boy  ;?;?;;;;;;
;"252/212;214;616;
620;622";RİVET;12 mm / 14 mm ;19 Boy / 22 Boy ;?;?;;;;;;
;"252/212;214;616;
620;622";ÇAKMA DÜĞME;16 mm / 20 mm / 22 mm ;26 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"253/210;617
;620;622;";RİVET;10 mm ;16 Boy  ;?;?;;;;;;
;"253/210;617
;620;622;";ÇAKMA DÜĞME;17 mm / 20 mm / 22 mm ;27 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"254/212;214
;617;620;622;812";RİVET;12 mm / 14 mm ;19 Boy / 22 Boy ;?;?;;;;;;
;"254/212;214
;617;620;622;812";ÇAKMA DÜĞME;17 mm / 20 mm / 22 mm ;27 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"254/212;214
;617;620;622;812";SALLANTI;12 mm ;19;?;?;;;;;;
;255/806;SALLANTI;06 mm;10;?;?;;;;;;
;256/908;ÜSTTEN DİKME DÜĞME;08 mm;13;?;?;;;;;;
;257/209;RİVET;09 mm;14;?;?;;;;;;
;258/210;RİVET;10 mm ;16;?;?;;;;;;
;259/214;RİVET;14 mm ;22;?;?;;;;;;
;"260/212;215;617;620;622";RİVET;12 mm / 15 mm ;19 Boy / 24 Boy ;?;?;;;;;;
;"260/212;215;617;620;622";ÇAKMA DÜĞME;17 mm / 20 mm / 22 mm ;27 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"261/210;214;620;212";RİVET;10 mm / 12 mm / 14 mm ;16 Boy / 19 Boy / 22 Boy ;?;?;;;;;;
;"261/210;214;620;212";ÇAKMA DÜĞME;20 mm;32;?;?;;;;;;
;"262/025;030
;017;014 ;028;023";ALTTAN DİKME DÜĞME;"14 mm / 17 mm / 23 mm / 25 mm / 
28 mm / 30 mm ";22 Boy / 27 Boy / 37 Boy / 40 Boy / 45 Boy / 48 Boy ;?;?;;;;;;
;263/623 ( aslan kafası );ÇAKMA DÜĞME;23 mm ;37;?;?;;;;;;
;"264/212 ;623
";RİVET;12 mm ;19;?;?;;;;;;
;"264/212 ;623
";ÇAKMA DÜĞME;23 mm ;37;?;?;;;;;;
;265/215;RİVET;15 mm ;24;?;?;;;;;;
;266/210;RİVET;10 mm ;16;?;?;;;;;;
;"267/617;620;220";ÇAKMA DÜĞME;17 mm / 20 mm ;27 Boy / 32 Boy ;?;?;;;;;;
;"267/617;620;220";RİVET;20 mm ;32;?;?;;;;;;
;"268/214;217;
220;228
617;620;624;628;
522;530;538;548;212";RİVET;"12 mm / 14 mm / 17 mm / 20 mm / 
28 mm / ";19 Boy / 22 Boy / 27 Boy / 32 Boy / 45 Boy ;?;?;;;;;;
;"268/214;217;
220;228
617;620;624;628;
522;530;538;548;212";ÇAKMA DÜĞME;17 mm / 20 mm / 24 mm / 28 mm ;27 Boy / 32 Boy / 38 Boy / 45 Boy ;?;?;;;;;;
;"268/214;217;
220;228
617;620;624;628;
522;530;538;548;212";?;?;YOK;?;?;;;;;;
;269/007;?;07 mm ;11;?;?;;;;;;
;"270/012;212;617";ALTTAN DİKME DÜĞME;12 mm ;19;?;?;;;;;;
;"270/012;212;617";RİVET;12 mm ;19;?;?;;;;;;
;"270/012;212;617";ÇAKMA DÜĞME;17 mm ;27;?;?;;;;;;
;"271/917;923
;920;914";ÜSTTEN DİKME DÜĞME;14 mm / 17 mm / 20 mm / 23 mm ;22 Boy / 27 Boy / 32 Boy / 37 Boy ;?;?;;;;;;
;272/014;ALTTAN DİKME DÜĞME;14 mm ;22;?;?;;;;;;
;273/012;ALTTAN DİKME DÜĞME;12 mm ;19;?;?;;;;;;
;"274/014;214
;022;222;215-T";RİVET;14 mm / 15T mm / 22 mm ;22 Boy / 24 Boy / 35 Boy ;?;?;;;;;;
;"274/014;214
;022;222;215-T";ALTTAN DİKME DÜĞME;14 mm / 22 mm ;22 Boy / 35 Boy ;?;?;;;;;;
;275/217;RİVET;17 mm ;27;?;?;;;;;;
;"276/010;210";RİVET;10 mm ;16;?;?;;;;;;
;"276/010;210";ALTTAN DİKME DÜĞME;10 mm ;16;?;?;;;;;;
;277/915;ÜSTTEN DİKME DÜĞME;15 mm;24;?;?;;;;;;
YOK;"278;012";?;12 mm;19;?;?;;;;;;
;"279/209;214
;212,620;210";RİVET;09 mm / 10 mm / 12 mm / 14 mm;14 Boy / 16 Boy / 19 Boy / 22 Boy ;?;?;;;;;;
;"279/209;214
;212,620;210";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"280/212;620";RİVET;12 mm ;19;?;?;;;;;;
;"280/212;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;281/115;RİVET;15  mm ;24;?;?;;;;;;
;"282/212;620;212-T;012";RİVET;12 mm / 12T mm ;19 Boy / 19 Boy ;?;?;;;;;;
;"282/212;620;212-T;012";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"282/212;620;212-T;012";ALTTAN DİKME DÜĞME;12 mm ;19;?;?;;;;;;
;283/217;RİVET;17 mm ;27;?;?;;;;;;
;"284/212;620";RİVET;12 mm ;19;?;?;;;;;;
;"284/212;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"285/617;216";RİVET;16 mm ;26;?;?;;;;;;
;"285/617;216";ÇAKMA DÜĞME;17 mm ;27;?;?;;;;;;
;286/212;RİVET;12 mm ;19;?;?;;;;;;
YOK;"287/620;212;220";RİVET;12 mm / 20 mm ;19 Boy / 32 Boy ;?;?;;;;;;
YOK;"287/620;212;220";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"288/620;212";RİVET;12 mm ;19;?;?;;;;;;
;"288/620;212";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"289/210;617";RİVET;10 mm ;16;?;?;;;;;;
;"289/210;617";ÇAKMA DÜĞME;17 mm ;27;?;?;;;;;;
;"290/625;215";RİVET;15 mm ;24;?;?;;;;;;
;"290/625;215";ÇAKMA DÜĞME;25 mm ;40;?;?;;;;;;
;"291/;540";?;?;;?;?;;;;;;
;"292/210;617;117";RİVET;10 mm / 17 mm ;16 Boy / 27 Boy ;?;?;;;;;;
;"292/210;617;117";ÇAKMA DÜĞME;17 mm ;27;?;?;;;;;;
YOK;293/ ;?;?;YOK;?;?;;;;;;
;"294/;712";ÇIT ÇIT;12 mm ;19;?;?;;;;;;
;"295/217;223;220";RİVET;17 mm / 20 mm / 23 mm ;27 Boy / 32 Boy / 37 Boy ;?;?;;;;;;
;"296/221-T ;221-4 TAS;
221-5 TAS";RİVET;21T mm / 21-4T  mm / 21-5T mm ;34;?;?;;;;;;
;"297/216;625";RİVET;16 mm ;26;?;?;;;;;;
;"297/216;625";ÇAKMA DÜĞME;25 mm ;40;?;?;;;;;;
;298/ 212;RİVET;12 mm ;19;?;?;;;;;;
;299/ 938,925;ÜSTTEN DİKME DÜĞME;25 mm / 38 mm ;40 Boy / 61 Boy ;?;?;;;;;;
;"300/ 938;928";ÜSTTEN DİKME DÜĞME;28 mm / 38 mm ;45 Boy / 61 Boy ;?;?;;;;;;
;"301/028;023
;025;015";ALTTAN DİKME DÜĞME;15 mm / 23 mm / 25 mm / 28 mm ;24 Boy / 37 Boy / 40 Boy / 45 Boy ;?;?;;;;;;
;"302,/025;020";ALTTAN DİKME DÜĞME;20 mm / 25 mm ;32 Boy / 40 Boy ;?;?;;;;;;
;"303/028;017;033;022;";ALTTAN DİKME DÜĞME;17 mm / 22 mm / 28 mm / 33 mm ;27 Boy / 35 Boy / 45 Boy / 53 Boy ;?;?;;;;;;
;"304/814;215";RİVET;15 mm ;24;?;?;;;;;;
;"304/814;215";SALLANTI;14 mm ;22;?;?;;;;;;
;"305/214;620
;625;714;622";RİVET;14 mm ;22;?;?;;;;;;
;"305/214;620
;625;714;622";ÇAKMA DÜĞME;20 mm / 22 mm / 25 mm ;32 Boy / 35 Boy / 40 Boy ;?;?;;;;;;
;"305/214;620
;625;714;622";ÇIT ÇIT;14 mm ;22;?;?;;;;;;
;"306/215;215-T";RİVET;15 mm / 15T mm ;24;?;?;;;;;;
;"307/818;";SALLANTI;18 mm ;29;?;?;;;;;;
;308/812;SALLANTI;12 mm ;19;?;?;;;;;;
;309/819;SALLANTI;19 mm;30;?;?;;;;;;
;"310/017;022,015";ALTTAN DİKME DÜĞME;15 mm / 17 mm / 22 mm ;24 Boy / 27 Boy / 35 Boy ;?;?;;;;;;
;"311/517;520
;525;530; 
";?;?;;?;?;;;;;;
;"312/220;224";RİVET;20 mm / 24 mm ;32 Boy / 38 Boy ;?;?;;;;;;
;"313/220;224";RİVET;20 mm / 24 mm ;32 Boy / 38 Boy ;?;?;;;;;;
;"314/220;224";RİVET;20 mm / 24 mm ;32 Boy / 38 Boy ;?;?;;;;;;
;"315/214;620";RİVET;14 mm ;22;?;?;;;;;;
;"315/214;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;316/ 822;SALLANTI;22 mm ;35;?;?;;;;;;
;"317/ 215;620 ";RİVET;15 mm ;24;?;?;;;;;;
;"317/ 215;620 ";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;318/ 865;SALLANTI;65 mm ;104;?;?;;;;;;
;"319/ 022 ;014;018";ALTTAN DİKME DÜĞME;14 mm / 18 mm / 22 mm ;22 Boy / 29 Boy / 35 Boy ;?;?;;;;;;
;320/ 224 X 12;RİVET;24x12 mm ;19;?;?;;;;;;
;321/ 218 X 15;RİVET;18x15 mm ;29;?;?;;;;;;
;"322/ 215 ;620";RİVET;15 mm ;24;?;?;;;;;;
;"322/ 215 ;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;323/012;TOKA;12 mm ;19;?;?;;;;;;
;"324 / 219  ;224";RİVET;19 mm / 24 mm ;30 Boy / 38 Boy ;?;?;;;;;;
;325/824;SALLANTI;24 mm ;38;?;?;;;;;;
;326/218 x 17;RİVET;18x17 mm ;29;?;?;;;;;;
;"327/224 ;829";RİVET;24 mm ;38;?;?;;;;;;
;"327/224 ;829";SALLANTI;29 mm ;46;?;?;;;;;;
;328 /023  ;TOKA;23 mm ;37;?;?;;;;;;
;"329 / 224 x 10(10 içcap)
;224 x12";RİVET;24x10 mm / 24x12 mm;16 Boy / 19 Boy ;?;?;;;;;;
;330/215 x29 ;RİVET;15x29 mm ;24;?;?;;;;;;
;331/014 ;TOKA;14 mm ;22;?;?;;;;;;
;332 /023;ALTTAN DİKME DÜĞME;23 mm ;37;?;?;;;;;;
;"333/224x12-d 
(delikli)";RİVET;24x12D mm ;38;?;?;;;;;;
;"334/826 
 ( zmk0058)";SALLANTI;26 mm ;42;?;?;;;;;;
;"335/ 224 ;829
 ";RİVET;24 mm ;38;?;?;;;;;;
;"335/ 224 ;829
 ";SALLANTI;29 mm ;46;?;?;;;;;;
;"336/928
İNGİLTERE";ÜSTTEN DİKME DÜĞME;28 mm ;45;?;?;;;;;;
;"337/224 ;829
";RİVET;24 mm ;38;?;?;;;;;;
;"337/224 ;829
";SALLANTI;29 mm ;46;?;?;;;;;;
;"338/217 ;217-T
211; 211-T
208 ";RİVET;08 mm / 11 mm / 11T mm / 17 mm / 17T mm ;13 Boy / 18 Boy / 27 Boy ;?;?;;;;;;
;"339/222;";RİVET;22 mm;35;?;?;;;;;;
;340/012;TOKA;12 mm ;19;?;?;;;;;;
;"341/225 ; 825;620";RİVET;25 mm ;40;?;?;;;;;;
;"341/225 ; 825;620";SALLANTI;25 mm ;40;?;?;;;;;;
;"341/225 ; 825;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"342/620 ; 214;214-M";RİVET;14 mm / 14M mm ;22;?;?;;;;;;
;"342/620 ; 214;214-M";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"343/220 ;214";RİVET;14 mm / 20 mm ;22 Boy / 32 Boy ;?;?;;;;;;
;344/017;ALTTAN DİKME DÜĞME;17 mm ;27;?;?;;;;;;
;"345/120 ;217;220
";RİVET;17 mm / 20 mm ;27 Boy / 32 Boy ;?;?;;;;;;
;"346/224 ;829";RİVET;24 mm ;38;?;?;;;;;;
;"346/224 ;829";SALLANTI;29 mm ;46;?;?;;;;;;
;347/620;ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"348/224 ;829";RİVET;24 mm ;38;?;?;;;;;;
;"348/224 ;829";SALLANTI;29 mm ;46;?;?;;;;;;
;"349/224 ;829";RİVET;24 mm ;38;?;?;;;;;;
;"349/224 ;829";SALLANTI;29 mm ;46;?;?;;;;;;
;"350/217;620";RİVET;17 mm ;27 Boy  ;?;?;;;;;;
;"350/217;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;351/217;RİVET;17 mm ;27;;;;;;;;
;352/218;RİVET;18 mm ;29;;;;;;;;
;"353/224-K; 823-A";RİVET;24K mm ;38;;;;;;;;
;"353/224-K; 823-A";SALLANTI;23A mm ;37;?;?;;;;;;
;"354/220;215";RİVET;15 mm / 20 mm ;24 Boy / 32 Boy ;?;?;;;;;;
;"355/ 037;030";TOKA;30 mm / 37 mm ;48 Boy / 59 Boy ;?;?;;;;;;
;"356/025;225";TOKA;25 mm ;40;?;?;;;;;;
;"356/025;225";RİVET;25 mm ;40;?;?;;;;;;
;"357/620; 617;622;212";RİVET;12 mm ;19;?;?;;;;;;
;"357/620; 617;622;212";ÇAKMA DÜĞME;17 mm / 20 mm / 22 mm ;27 Boy / 32 Boy / 35 Boy ;?;?;;;;;;
;"358/017;";TOKA;17 mm ;27;?;?;;;;;;
;"359/846;214";RİVET;14 mm ;22;?;?;;;;;;
;"359/846;214";SALLANTI;46 mm ;74;?;?;;;;;;
;360/230;RİVET;30 mm ;48;?;?;;;;;;
;361/041;TOKA;14 mm ;22;?;?;;;;;;
;362/230;RİVET;30 mm ;48;?;?;;;;;;
;363/020  ;TOKA;20 mm ;32;?;?;;;;;;
;364/215;RİVET;15 mm ;24;?;?;;;;;;
;"365/208-ss28  ; 210-ss34";RİVET;08-28SS mm / 10-34SS mm ;13 Boy / 16 Boy ;?;?;;;;;;
;"366/138;130;123";RİVET;23 mm / 30 mm / 38 mm ;37 Boy / 48 Boy / 61 Boy ;?;?;;;;;;
;367/220;RİVET;20 mm ;32;?;?;;;;;;
;"368/818 ;218";SALLANTI;18 mm ;29;?;?;;;;;;
;"368/818 ;218";RİVET;18 mm ;29;?;?;;;;;;
;369/030;TOKA;30 mm ;48;?;?;;;;;;
;"370/218 ;";RİVET;18 mm ;29;?;?;;;;;;
;"371/210;212;214";RİVET;10 mm / 12 mm / 14 mm ;16 Boy / 19 Boy / 22 Boy ;?;?;;;;;;
;"372/210;212";RİVET;10 mm / 12 mm ;16 Boy / 19 Boy ;?;?;;;;;;
;373/211;RİVET;11 mm ;18;?;?;;;;;;
;374/218;RİVET;18 mm ;29;?;?;;;;;;
;375/827;SALLANTI;27 mm ;43;?;?;;;;;;
;376/826;SALLANTI;26 mm ;42;?;?;;;;;;
;377/140 ;RİVET;40 mm ;64;?;?;;;;;;
;378/216;RİVET;16 mm ;26;?;?;;;;;;
;379/840;SALLANTI;40 mm ;64;?;?;;;;;;
;380/840;SALLANTI;40 mm ;64;?;?;;;;;;
;381/840;SALLANTI;40 mm ;64;?;?;;;;;;
;"382/834 -M;850-P,834
TEKLİ";SALLANTI;34 mm / 34M mm / 50P mm;54 Boy / 54 Boy / 80 Boy ;?;?;;;;;;
;383 / 023;ALTTAN DİKME DÜĞME;23 mm ;37;?;?;;;;;;
;384 /025;ALTTAN DİKME DÜĞME;25 mm ;40;?;?;;;;;;
;385/619  ;ÇAKMA DÜĞME;19 mm ;30;?;?;;;;;;
;386 /938;ÜSTTEN DİKME DÜĞME;38 mm ;61;?;?;;;;;;
;"387/220;228;
216_220_PARÇASI";RİVET;20 mm / 28 mm;32 Boy / 45 Boy ;?;?;;;;;;
;388/224;RİVET;24 mm ;38;?;?;;;;;;
;"389/028;018";ALTTAN DİKME DÜĞME;18 mm / 28 mm ;29 Boy / 45 Boy ;?;?;;;;;;
;"390/020;025;030,027.5 
( STANDART ALT )";ALTTAN DİKME DÜĞME;20 mm / 25 mm / 28 mm / 30 mm ;32 Boy / 40 Boy / 45 Boy / 48 Boy ;?;?;;;;;;
;391/028;ALTTAN DİKME DÜĞME;28 mm ;45;?;?;;;;;;
;392/923;ÜSTTEN DİKME DÜĞME;23 mm ;37;?;?;;;;;;
;393/224;RİVET;24 mm ;38;?;?;;;;;;
;"394 /025;023";ALTTAN DİKME DÜĞME;23 mm / 25 mm ;37 Boy / 40 Boy ;?;?;;;;;;
;395/214;RİVET;14 mm ;22;?;?;;;;;;
;"396/210 ;212/008";RİVET;10 mm / 12 mm;16 Boy / 19 Boy ;?;?;;;;;;
;"396/210 ;212/008";ALTTAN DİKME DÜĞME;08 mm ;13;?;?;;;;;;
;397 / 210  ;RİVET;10 mm ;16;?;?;;;;;;
;398/125;RİVET;25 mm ;40;?;?;;;;;;
;399/923;ÜSTTEN DİKME DÜĞME;23 mm ;37;?;?;;;;;;
;400/020 ;TOKA;20 mm ;32;?;?;;;;;;
;401/050;TOKA;50 mm ;80;?;?;;;;;;
;"402/623;215";ÇAKMA DÜĞME;23 mm;37;?;?;;;;;;
;"402/623;215";RİVET;15 mm;24;?;?;;;;;;
;"403 /819 ; 835";SALLANTI;19 mm / 35 mm ;30 Boy / 56 Boy ;?;?;;;;;;
;404 /215;RİVET;15 mm ;24;?;?;;;;;;
;405/228;RİVET;28 mm ;45;?;?;;;;;;
;406/618;ÇAKMA DÜĞME;18 mm ;29;?;?;;;;;;
;"407/111;111-K";RİVET;11 mm / 11K mm ;18;?;?;;;;;;
;"408/715;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;"408/715;620";ÇIT ÇIT;15 mm ;24;?;?;;;;;;
;"409/209;212";RİVET;09 mm / 12 mm ;14 Boy / 19 Boy ;?;?;;;;;;
;410 /925;ÜSTTEN DİKME DÜĞME;25 mm ;40;?;?;;;;;;
;411/037;TOKA;37 mm ;59;?;?;;;;;;
;412/040;TOKA;40 mm ;64;?;?;;;;;;
;413/013;TOKA;13 mm ;21;?;?;;;;;;
;"414/109;707;208";RİVET;08 mm / 09 mm ;13 Boy / 14 Boy ;?;?;;;;;;
;"414/109;707;208";ÇIT ÇIT;07 mm ;11;?;?;;;;;;
;415/011;?;11 mm ;18;?;?;;;;;;
;416/015;TOKA;15 mm ;24;?;?;;;;;;
;417/011;TOKA;11 mm ;18;?;?;;;;;;
;418/042;TOKA;42 mm ;67;?;?;;;;;;
;419 / 038;TOKA;38 mm ;61;?;?;;;;;;
;420 / 038;TOKA;38 mm ;61;?;?;;;;;;
;421/018;TOKA;18 mm ;29;?;?;;;;;;
;422 / 035;TOKA;35 mm ;56;?;?;;;;;;
;423 / 159;RİVET;59 mm ;94;?;?;;;;;;
;424 /  207;RİVET;07 mm ;11;?;?;;;;;;
;425 /060;TOKA;60 mm ;96;?;?;;;;;;
;426/195  ;RİVET;95 mm ;152;?;?;;;;;;
;427/ 214;RİVET;14 mm ;22;?;?;;;;;;
;"428  / 018 ;014";TOKA;14 mm / 18 mm ;22 Boy / 29 Boy ;?;?;;;;;;
;429/ 015;TOKA;15 mm ;24;?;?;;;;;;
;"430/020;016";TOKA;16 mm / 20 mm ;26 Boy / 32 Boy ;?;?;;;;;;
;431/ 025;TOKA;25 mm ;40;?;?;;;;;;
;"432/016;035";TOKA;16 mm / 35 mm ;26 Boy / 56 Boy ;?;?;;;;;;
;433/ 019;TOKA;19 mm ;30;?;?;;;;;;
;434/108;RİVET;08 mm ;13;?;?;;;;;;
;"435/025 ;030;035";TOKA;25 mm / 30 mm / 35 mm ;40 Boy / 48 Boy / 56 Boy ;?;?;;;;;;
;436/108  ;RİVET;08 mm ;13;?;?;;;;;;
;437/840;SALLANTI;40 mm ;64;?;?;;;;;;
;438/225;RİVET;25 mm ;40;?;?;;;;;;
;"439/923;928 (İNGİLTERE)";ÜSTTEN DİKME DÜĞME;23 mm / 28 mm ;37 Boy / 45 Boy ;?;?;;;;;;
;"440/216;210;620";RİVET;10 mm / 16 mm ;16 Boy / 26 Boy ;?;?;;;;;;
;"440/216;210;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;441/220;RİVET;20 mm ;32;?;?;;;;;;
;442/230;RİVET;30 mm ;48;?;?;;;;;;
;443/041;TOKA;41 mm ;66;?;?;;;;;;
;444/214;RİVET;14 mm ;22;?;?;;;;;;
;445/212;RİVET;12 mm ;19;?;?;;;;;;
;"446/212;210";RİVET;10 mm / 12 mm ;16 Boy / 19 Boy ;?;?;;;;;;
;447/215;RİVET;15 mm ;24;?;?;;;;;;
;448/213;RİVET;13 mm ;21;?;?;;;;;;
;"449/835;214";SALLANTI;35 mm ;56;?;?;;;;;;
;"449/835;214";RİVET;14 mm ;22;?;?;;;;;;
;450/213;RİVET;13 mm ;21;?;?;;;;;;
;"451 / 213;210";RİVET;10 mm / 13 mm ;16 Boy / 21 Boy ;?;?;;;;;;
;"452 /212  ;210";RİVET;10 mm / 12 mm ;16 Boy / 19 Boy ;?;?;;;;;;
;"453/212;620";RİVET;12 mm ;19;?;?;;;;;;
;"453/212;620";ÇAKMA DÜĞME;20 mm ;32;?;?;;;;;;
;454/212 ;RİVET;12 mm ;19;?;?;;;;;;
;455/212;RİVET;12 mm ;19;?;?;;;;;;
;456/212;RİVET;12 mm ;19;?;?;;;;;;
;"457/105;108";RİVET;05 mm / 08 mm ;8 Boy / 13 Boy ;?;?;;;;;;
;458/212;RİVET;12 mm ;19;?;?;;;;;;
;459/019;TOKA;19 mm ;30;?;?;;;;;;
;460/220;RİVET;20 mm ;32;?;?;;;;;;
;461/218;RİVET;18 mm ;29;?;?;;;;;;
;462/215;RİVET;15 mm ;24;?;?;;;;;;
;463/215;RİVET;15 mm ;24;?;?;;;;;;
